id,sweep_init_time,pop_radius_at_sweep_init
000000B1bb,0,0
000000B2b,0,0
000000B2bb,0,0
000000B3b,0,0
000000B3bb,0,0
000000B4b,0,0
000000B4bb,0,0
000000B5b,0,0
000000B5bb,55.419399,5.41151638
000000B5ab,0,0
000000B5bb,328.47287,46.09121587
000000B6b,0,0
000000B6bb,0,0
000000B7b,0,0
000000B7bb,0,0
000000B8b,0,0
000000B8bb,0,0
000000B9b,0,0
000000B9bb,0,0
000000BAb,0,0
000000BAbb,0,0
000000BAab,169.152374,16.55490296
000000BBbb,0,0
000000BBab,0,0
000000BCbb,0,0
000000BCab,0,0
000000BDbb,0,0
000000BDab,0,0
000000BDbb,420.162079,57.40334434
000000BEb,0,0
000000BEbb,0,0
000000BFb,0,0
000000BFbb,0,0
000000C0b,0,0
000000C0bb,0,0
000000C1b,0,0
000000C1bb,0,0
000000C2b,0,0
000000C2bb,0,0
000000C3b,0,0
000000C3bb,0,0
000000C4b,0,0
000000C4bb,0,0
000000C5b,0,0
000000C5bb,0,0
000000C6b,0,0
000000C6bb,504.418091,66.84396661
000000C6ab,0,0
000000C7bb,0,0
000000C7ab,0,0
000000C8bb,0,0
000000C8b,447.202515,53.64253323
000000C8bb,0,0
000000C9b,0,0
000000C9bb,0,0
000000CAb,0,0
000000CAbb,0,0
000000CBb,0,0
000000CBbb,0,0
000000CCb,0,0
000000CCbb,0,0
000000CDb,0,0
000000CDbb,0,0
000000CEb,0,0
000000CEbb,0,0
000000CFb,0,0
000000CFbb,0,0
000000D0b,0,0
000000D0bb,0,0
000000D1b,0,0
000000D1bb,0,0
000000D2b,0,0
000000D2bb,0,0
000000D2ab,308.410217,38.82673848
000000D3bb,0,0
000000D3ab,0,0
000000D4bb,0,0
000000D4ab,0,0
000000D5bb,0,0
000000D5b,389.119751,47.86974901
000000D5bb,0,0
000000D5ab,637.470703,85.55242558
000000D5bb,720.993713,96.89945832
000000D6b,0,0
000000D6bb,0,0
000000D7b,0,0
000000D7bb,0,0
000000D8b,0,0
000000D8bb,0,0
000000D9b,0,0
000000D9bb,566.601929,67.91399157
000000D9ab,0,0
000000DAbb,0,0
000000DAab,0,0
000000DBbb,0,0
000000DBab,0,0
000000DCbb,0,0
