,index,log2_deme,migration_rate,normal_birth_rate
295,000007CA,7,0.025,0.71428571428
296,000000CA,1,0.5,0.95238095238
297,00000337,3,0.25,0.83333333333
298,000001BB,2,0.1,0.95238095238
299,0000052A,5,0.025,0.95238095238
300,00000060,1,0.05,0.90909090909
301,00000410,4,0.05,0.95238095238
302,000008B5,7,1.0,0.83333333333
303,000006B7,6,0.05,0.71428571428
304,00000088,1,0.1,0.90909090909
305,000008D4,8,0.01,0.83333333333
306,00000224,2,0.5,0.83333333333
307,000002C9,3,0.025,0.71428571428
308,00000976,8,0.25,0.83333333333
309,000009E2,8,1.0,0.90909090909
310,00000495,4,0.5,0.90909090909
311,000006D7,6,0.1,0.71428571428
312,00000964,8,0.25,0.95238095238
313,000008B2,7,1.0,0.83333333333
314,000003CA,4,0.01,0.90909090909
315,0000014A,2,0.01,0.90909090909
316,0000096F,8,0.25,0.90909090909
317,00000174,2,0.025,0.90909090909
318,0000009D,1,0.1,0.71428571428
319,00000500,5,0.01,0.95238095238
320,00000969,8,0.25,0.95238095238
321,0000082C,7,0.25,0.90909090909
322,00000133,1,1.0,0.83333333333
323,000002C3,3,0.025,0.83333333333
324,000001B4,2,0.05,0.71428571428
325,000004A4,4,0.5,0.83333333333
326,000006E6,6,0.25,0.95238095238
327,000006F2,6,0.25,0.90909090909
328,000007D8,7,0.05,0.95238095238
329,00000623,5,1.0,0.90909090909
330,0000075C,6,1.0,0.95238095238
331,0000058B,5,0.1,0.90909090909
332,0000033D,3,0.25,0.83333333333
333,0000029C,3,0.01,0.83333333333
334,00000265,2,1.0,0.90909090909
335,00000652,6,0.01,0.90909090909
336,0000019B,2,0.05,0.90909090909
337,0000012C,1,1.0,0.83333333333
338,000006B2,6,0.05,0.71428571428
339,00000674,6,0.025,0.90909090909
340,000009C4,8,0.75,0.83333333333
341,0000056C,5,0.05,0.83333333333
342,0000019C,2,0.05,0.90909090909
343,00000434,4,0.05,0.71428571428
344,000005DB,5,0.5,0.90909090909
345,0000077B,6,1.0,0.71428571428
346,00000572,5,0.05,0.71428571428
347,000009FF,8,1.0,0.71428571428
348,00000451,4,0.1,0.83333333333
349,00000258,2,1.0,0.95238095238
350,00000774,6,1.0,0.83333333333
351,00000605,5,0.75,0.83333333333
352,0000068C,6,0.025,0.71428571428
353,00000983,8,0.25,0.71428571428
354,00000058,1,0.05,0.95238095238
355,0000069F,6,0.05,0.90909090909
356,000008EC,8,0.025,0.95238095238
357,000004D8,4,1.0,0.95238095238
358,000004DB,4,1.0,0.95238095238
359,000007E4,7,0.05,0.83333333333
