,index,log2_deme,migration_rate,s_driver_birth
347,00000BE9,2,1.0,1.6
348,00001E80,5,1.0,2.0
349,00000DB1,3,0.025,1.0
350,000021E6,6,0.1,1.3
351,000007E2,2,0.05,1.9
352,0000197E,5,0.01,0.8
353,00002EA5,8,0.1,0.6
354,0000007E,1,0.01,0.8
355,00000AAC,2,0.5,0.7
356,00002B35,7,1.0,1.4
357,00002347,6,0.5,1.7
358,0000240C,6,0.75,1.8
359,00002633,7,0.01,0.3
360,00001DF3,5,0.75,1.4
361,000007A3,2,0.025,0.5
362,00001CFB,5,0.5,1.9
363,00000F5B,3,0.1,0.7
364,00003044,8,0.5,0.5
365,00001039,3,0.25,0.5
366,00002877,7,0.1,0.5
367,00002B68,7,1.0,0.9
368,000008C3,2,0.1,1.6
369,000015AC,4,0.1,0.6
370,00000C01,2,1.0,1.3
371,00000603,1,1.0,0.7
372,000019A2,5,0.01,0.4
373,00001BCE,5,0.1,0.9
374,00002E25,8,0.1,1.9
375,00002DBA,8,0.05,1.0
376,00002E7C,8,0.1,1.0
377,0000202F,6,0.025,1.7
378,00002DD0,8,0.05,0.8
379,00002935,7,0.25,0.6
380,0000098C,2,0.25,1.6
381,00001773,4,0.75,2.0
382,0000090A,2,0.1,0.9
383,00002FC7,8,0.5,1.7
384,0000297A,7,0.5,1.9
385,00002FAC,8,0.5,2.0
386,00001E46,5,0.75,0.5
387,000031AF,8,1.0,0.9
388,00001BC7,5,0.1,0.9
389,00002ABF,7,0.75,0.6
390,00001793,4,0.75,1.7
391,00002FA7,8,0.25,0.1
392,00001AFB,5,0.05,1.0
393,00001362,4,0.01,0.4
394,00002200,6,0.1,1.0
395,0000011D,1,0.025,1.2
396,00003033,8,0.5,0.7
397,000005A0,1,1.0,1.6
398,000019A3,5,0.01,0.4
399,00002484,6,0.75,0.6
400,00002F2C,8,0.25,1.3
401,0000158C,4,0.1,0.9
402,00001C95,5,0.25,0.9
403,000006B5,2,0.01,0.9
404,0000228B,6,0.25,1.6
405,00001BC3,5,0.1,1.0
406,000010CA,3,0.5,1.1
407,00000C75,2,1.0,0.2
408,0000101E,3,0.25,0.8
409,00000068,1,0.01,1.0
410,00000B95,2,0.75,0.4
411,000030F0,8,0.75,0.8
412,000026D6,7,0.025,0.6
413,00002582,7,0.01,2.0
414,000016C7,4,0.5,1.7
