,index,mu_driver_birth,s_driver_birth
208,000000CFd,1e-05,0.075
209,000000D0d,1e-05,0.075
210,000000D1d,1e-05,0.075
211,000000D2d,1e-05,0.075
212,000000D3d,1e-05,0.075
213,000000D4d,1e-05,0.075
214,000000D5d,1e-05,0.075
215,000000D6d,1e-05,0.075
216,000000D7d,1e-05,0.075
217,000000D8d,1e-05,0.075
218,000000D9d,1e-05,0.075
219,000000DAd,1e-05,0.075
220,000000DBd,1e-05,0.075
221,000000DCd,1e-05,0.075
222,000000DDd,1e-05,0.075
223,000000DEd,1e-05,0.075
224,000000DFd,1e-05,0.075
225,000000E0d,1e-05,0.075
226,000000E1d,1e-05,0.075
227,000000E2d,1e-05,0.075
228,000000E3d,1e-05,0.075
229,000000E4d,1e-05,0.075
230,000000E5d,1e-05,0.075
231,000000E6d,1e-05,0.075
232,000000E7d,1e-05,0.075
233,000000E8d,1e-05,0.075
234,000000E9d,1e-05,0.075
235,000000EAd,1e-05,0.075
236,000000EBd,1e-05,0.075
237,000000ECd,1e-05,0.075
238,000000EDd,1e-05,0.075
239,000000EEd,1e-05,0.075
240,000000EFd,1e-05,0.075
241,000000F0d,1e-05,0.075
242,000000F1d,1e-05,0.075
243,000000F2d,1e-05,0.075
244,000000F3d,1e-05,0.075
245,000000F4d,1e-05,0.075
246,000000F5d,1e-05,0.075
247,000000F6d,1e-05,0.075
248,000000F7d,1e-05,0.075
249,000000F8d,1e-05,0.075
250,000000F9d,1e-05,0.075
251,000000FAd,1e-05,0.075
252,000000FBd,1e-05,0.075
253,000000FCd,1e-05,0.075
254,000000FDd,1e-05,0.075
255,000000FEd,1e-05,0.075
256,000000FFd,1e-05,0.075
257,00000100d,1e-05,0.075
258,00000101d,1e-05,0.075
259,00000102d,1e-05,0.075
260,00000103d,1e-05,0.075
261,00000104d,1e-05,0.075
262,00000105d,1e-05,0.075
263,00000106d,1e-05,0.075
264,00000107d,1e-05,0.075
265,00000108d,1e-05,0.075
266,00000109d,1e-05,0.075
267,0000010Ad,1e-05,0.075
268,0000010Bd,1e-05,0.075
269,0000010Cd,1e-05,0.075
270,0000010Dd,1e-05,0.075
271,0000010Ed,1e-05,0.075
272,0000010Fd,1e-05,0.075
273,00000110d,1e-05,0.075
274,00000111d,1e-05,0.075
275,00000112d,1e-05,0.075
276,00000113d,1e-05,0.075
277,00000114d,1e-05,0.075
278,00000115d,1e-05,0.075
279,00000116d,1e-05,0.075
280,00000117d,1e-05,0.075
281,00000118d,1e-05,0.075
282,00000119d,1e-05,0.075
283,0000011Ad,1e-05,0.075
284,0000011Bd,1e-05,0.075
285,0000011Cd,1e-05,0.075
286,0000011Dd,1e-05,0.075
287,0000011Ed,1e-05,0.075
288,0000011Fd,1e-05,0.075
289,00000120d,1e-05,0.075
290,00000121d,1e-05,0.075
291,00000122d,1e-05,0.075
292,00000123d,1e-05,0.075
293,00000124d,1e-05,0.075
294,00000125d,1e-05,0.075
295,00000126d,1e-05,0.075
296,00000127d,1e-05,0.075
297,00000128d,1e-05,0.075
298,00000129d,1e-05,0.075
299,0000012Ad,1e-05,0.075
300,0000012Bd,1e-05,0.075
301,0000012Cd,1e-05,0.075
302,0000012Dd,1e-05,0.075
303,0000012Ed,1e-05,0.075
304,0000012Fd,1e-05,0.075
305,00000130d,1e-05,0.075
306,00000131d,1e-05,0.075
307,00000132d,1e-05,0.075
308,00000133d,1e-05,0.075
309,00000134d,1e-05,0.075
310,00000135d,1e-05,0.075
311,00000136d,1e-05,0.075
312,00000137d,1e-05,0.075
313,00000138d,1e-05,0.075
314,00000139d,1e-05,0.075
315,0000013Ad,1e-05,0.075
316,0000013Bd,1e-05,0.075
317,0000013Cd,1e-05,0.075
318,0000013Dd,1e-05,0.075
319,0000013Ed,1e-05,0.075
320,0000013Fd,1e-05,0.075
321,00000140d,1e-05,0.075
322,00000141d,1e-05,0.075
323,00000142d,1e-05,0.075
324,00000143d,1e-05,0.075
325,00000144d,1e-05,0.075
326,00000145d,1e-05,0.075
327,00000146d,1e-05,0.075
328,00000147d,1e-05,0.075
329,00000148d,1e-05,0.075
330,00000149d,1e-05,0.075
331,0000014Ad,1e-05,0.075
332,0000014Bd,1e-05,0.075
333,0000014Cd,1e-05,0.075
334,0000014Dd,1e-05,0.075
335,0000014Ed,1e-05,0.075
336,0000014Fd,1e-05,0.075
337,00000150d,1e-05,0.075
338,00000151d,1e-05,0.075
339,00000152d,1e-05,0.075
340,00000153d,1e-05,0.075
341,00000154d,1e-05,0.075
342,00000155d,1e-05,0.075
343,00000156d,1e-05,0.075
344,00000157d,1e-05,0.075
345,00000158d,1e-05,0.075
346,00000159d,1e-05,0.075
347,0000015Ad,1e-05,0.075
348,0000015Bd,1e-05,0.075
349,0000015Cd,1e-05,0.075
350,0000015Dd,1e-05,0.075
351,0000015Ed,1e-05,0.075
352,0000015Fd,1e-05,0.075
353,00000160d,1e-05,0.075
354,00000161d,1e-05,0.075
355,00000162d,1e-05,0.075
356,00000163d,1e-05,0.075
357,00000164d,1e-05,0.075
358,00000165d,1e-05,0.075
359,00000166d,1e-05,0.075
360,00000167d,1e-05,0.075
361,00000168d,1e-05,0.075
362,00000169d,1e-05,0.075
363,0000016Ad,1e-05,0.075
364,0000016Bd,1e-05,0.075
365,0000016Cd,1e-05,0.075
366,0000016Dd,1e-05,0.075
367,0000016Ed,1e-05,0.075
