,id,...1.x,x070,x075,x080,x085,x090,x095,x099,x100,more_than_one_mutant,first_mutant_init_time,pop_radius_at_first_mut_init,mu_driver_birth,s_driver_birth,birth_rate_end_mean,sr1,sweep_complete_time,num_cell,sim_length,sim_size
35,00000006d,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,389.027405,53.47017297,1e-05,0.075,3.504913945,2.783237717,0,1,199.309235,1e+06
36,00000007,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,226.536743,25.21907829,1e-05,2,10,10,247.027084,11091,330.976807,1e+06
37,00000007a,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,225.861649,25.31948086,1e-05,0.15,5.987909966,5.542122184,375.03476,27904,760.284973,1e+06
38,00000007b,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,480.662262,61.95562055,1e-05,0.05,1.650706036,0.723006707,0,1,2000,610015
39,00000007bb,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,236.631531,27.3791852,1e-05,0.05,2.175952636,1.30661404,1074.050415,166685,1783.021973,1000000
40,00000007d,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,478.650238,60.95597839,1e-05,0.075,2.7943128,1.993680889,0,1,330.976807,1e+06
41,00000008,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,163.809601,17.8147219,1e-05,2,10,10,266.496033,14291,343.948364,1e+06
42,00000008a,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,163.809601,17.8144592,1e-05,0.15,5.485584552,4.983982836,0,1,1114.740845,1e+06
43,00000008b,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,442.53244,57.12541425,1e-05,0.05,1.248527402,0.276141558,0,1,2000,300333
44,00000008bb,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,429.937775,49.67432171,1e-05,0.05,1.83417859,0.9268651,0,1,1990.231567,1000000
45,00000008d,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,257.252533,30.63814378,1e-05,0.075,3.169679722,2.410755247,0,1,343.948364,1e+06
46,00000009,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,117.652107,11.90176781,1e-05,2,10,10,211.697861,6587,292.228119,1e+06
47,00000009a,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,397.161255,52.78414946,1e-05,0.15,5.978484374,5.531649304,1068.707642,896764,1080.06897,1e+06
48,00000009b,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,985.089539,125.3351953,1e-05,0.05,1.358823831,0.398693146,0,1,2000,338607
49,00000009bb,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,326.940033,38.00226248,1e-05,0.05,1.704654336,0.782949262,0,1,2000,558774
50,00000009d,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,352.267303,42.60658729,1e-05,0.075,2.854853549,2.060948388,996.729919,137757,292.228119,1e+06
51,0000000A,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265.649841,24.42397019,1e-05,2,9.999945249,9.999939165,292.965271,19537,370.735779,1e+06
52,0000000Aa,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,412.837463,46.17746125,1e-05,0.15,5.64514249,5.161269433,0,1,1160.428833,1e+06
53,0000000Ad,11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,549.385864,63.86815475,1e-05,0.075,3.457959025,2.731065583,0,1,370.735779,1e+06
54,0000000B,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,115.117882,13.26765083,1e-05,2,10,10,132.880463,6786,213.576538,1e+06
55,0000000Ba,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,286.821899,33.99212978,1e-05,0.15,5.827666993,5.364074437,0,1,1248.157837,1e+06
56,0000000bb,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500.5,59.82006135,1e-05,0.05,1.529770098,0.588633442,0,1,2000,515900
57,0000000Bb,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,428.355591,55.54617653,1e-05,0.05,1.366749811,0.40749979,0,1,2000,515900
58,0000000bbb,22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,832.424744,108.1405886,1e-05,0.05,2.134501141,1.260556823,0,1,2000,711937
59,0000000Bbb,24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,403.925812,48.7950607,1e-05,0.05,1.469334205,0.52148245,0,1,2000,711937
60,0000000Bd,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,172.644226,20.41243839,1e-05,0.075,3.19825798,2.442508867,569.932007,44977,213.576538,1e+06
61,0000000C,13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,168.700134,18.46401751,1e-05,2,10,10,0,1,276.327423,1e+06
62,0000000Ca,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.700134,18.46374523,1e-05,0.15,6.97729892,6.641443244,414.359009,23581,852.295044,1e+06
63,0000000Cb,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,473.651611,60.67858315,1e-05,0.05,1.53439874,0.593776378,0,1,2000,439731
64,0000000Cbb,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,168.700134,18.46374523,1e-05,0.05,1.795389056,0.883765618,0,1,2000,850292
65,0000000Cd,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.700134,18.46374523,1e-05,0.075,3.160769891,2.400855434,1013.375366,113820,276.327423,1e+06
66,0000000D,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,282.238007,29.0438647,1e-05,2,9.961486271,9.957206968,309.00354,17521,392.815186,1e+06
67,0000000Da,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,355.320221,40.9494381,1e-05,0.15,5.828543723,5.365048581,1006.020264,338274,1124.059204,1e+06
68,0000000Db,27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,422.040833,47.84314362,1e-05,0.05,1.945448501,1.050498334,0,1,2000,707564
69,0000000Dbb,28,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,379.020233,43.89452974,1e-05,0.05,1.835788499,0.928653888,0,1,2000,836735
70,0000000Dd,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,549.181274,66.07283927,1e-05,0.075,3.05645632,2.284951467,0,1,392.815186,1e+06
71,0000000E,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.583328,9.917694074,1e-05,2,9.654492741,9.616103045,146.515671,4251,262.661804,1e+06
72,0000000Ea,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,433.700226,51.35365038,1e-05,0.15,7.43993136,7.155479289,822.595825,166665,962.508545,1e+06
73,0000000Eb,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,310.059662,34.89319869,1e-05,0.05,1.64945215,0.7216135,1142.116943,186939,2000,962143
74,0000000Ebb,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,427.239197,52.71777325,1e-05,0.05,1.374245791,0.415828657,0,1,2000,492411
75,0000000Ed,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,653.96759,86.74036419,1e-05,0.075,3.834361733,3.149290814,0,1,262.661804,1e+06
76,0000000F,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,219.965271,22.65941282,1e-05,2,9.956294458,9.951438286,240.193756,12880,338.373688,1e+06
77,0000000Fa,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,219.965271,22.66610148,1e-05,0.15,6.04668578,5.607428644,447.208923,22091,927.116333,1e+06
78,0000000Fb,31,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,354.454285,44.51023176,1e-05,0.05,1.919262814,1.021403127,0,1,1970.093384,1000000
79,0000000Fbb,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,506.286865,63.19175201,1e-05,0.05,1.987012695,1.096680772,0,1,2000,621563
80,0000000Fd,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,852.461304,112.9802848,1e-05,0.075,2.902921496,2.114357218,0,1,338.373688,1e+06
81,00000010,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.312266,1.128395807,1e-05,2,10,10,6.1798,66,95.668533,1e+06
82,00000010a,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.312266,1.128379167,1e-05,0.15,6.392242142,5.991380158,8.19477,11,450.037048,1e+06
83,00000010b,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,355.48233,49.16225143,1e-05,0.05,1.419705255,0.466339172,0,1,2000,324825
84,00000010bb,34,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,366.399597,45.75504476,1e-05,0.05,1.713700595,0.793000661,0,1,2000,849967
85,00000010d,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,456.378693,58.65672647,1e-05,0.075,2.294895088,1.43877232,0,1,95.668533,1e+06
86,00000011,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,131.413773,16.42969095,1e-05,2,9.305821734,9.228690816,153.506897,6033,253.807724,1e+06
87,00000011a,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,274.852325,32.18354191,1e-05,0.15,7.87447713,7.638307922,0,1,1060.158325,1e+06
88,00000011b,35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,139.013748,15.48183918,1e-05,0.05,1.432831397,0.480923774,0,1,2000,363791
89,00000011bb,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,505.88028,64.22351209,1e-05,0.05,1.447470982,0.49718998,0,1,2000,394910
90,00000011d,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,204.670334,24.02944306,1e-05,0.075,2.673450128,1.859389031,849.5495,140330,253.807724,1e+06
91,00000012,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69.061386,7.63232777,1e-05,2,9.788245272,9.764716969,81.806267,1846,191.82753,1e+06
92,00000012a,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,431.668457,51.61024247,1e-05,0.15,5.705152814,5.227947571,0,1,1098.543945,1e+06
93,00000012b,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,286.297089,34.9843038,1e-05,0.05,1.435085155,0.48342795,0,1,2000,447607
94,00000012bb,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,497.669312,61.85535411,1e-05,0.05,1.760631128,0.845145698,1355.932129,378433,1833.944458,1000000
95,00000012d,19,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,578.958252,72.30436758,1e-05,0.075,4.126186575,3.473540639,0,1,191.82753,1e+06
96,00000013,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,195.453415,16.65100861,1e-05,2,9.839731389,9.821923766,235.234177,8927,327.792511,1e+06
97,00000013a,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,377.235565,40.4646272,1e-05,0.15,6.447399083,6.052665648,704.275146,61161,1013.65271,1e+06
98,00000013b,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,784.120728,102.8296461,1e-05,0.05,1.560748956,0.623054396,0,1,2000,474060
99,00000013bb,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,517.062012,63.09092745,1e-05,0.05,1.666838398,0.740931553,0,1,2000,494418
100,00000013d,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,239.704819,22.24796335,1e-05,0.075,2.515422056,1.683802284,0,1,327.792511,1e+06
101,00000014,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,154.468674,10.74941378,1e-05,2,9.947134747,9.94126083,290.205719,18549,377.007751,1e+06
102,00000014a,21,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,551.177856,64.25571985,1e-05,0.15,5.850978269,5.389975854,0,1,1140.37439,1e+06
103,00000014b,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,285.605469,33.64859975,1e-05,0.05,1.575830793,0.639811992,0,1,2000,482196
104,00000014bb,42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,771.604492,99.26370196,1e-05,0.05,1.471280639,0.523645154,0,1,2000,444248
105,00000014d,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,389.429352,41.799557,1e-05,0.075,3.175009359,2.416677066,0,1,377.007751,1e+06
106,00000015,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,289.731781,28.38986443,1e-05,2,10,10,309.716248,17737,384.935242,1e+06
107,00000015a,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,504.022797,55.33949236,1e-05,0.15,6.256440518,5.840489464,888.734619,206922,1077.869385,1e+06
108,00000015b,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,567.494324,69.7362061,1e-05,0.05,1.658080714,0.731200793,0,1,2000,567025
109,00000015bb,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,610.366211,69.34943454,1e-05,0.05,1.577152279,0.64128031,0,1,2000,558926
110,00000015d,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,431.750122,45.90437285,1e-05,0.075,3.17258348,2.413981644,1234.739624,248820,384.935242,1e+06
111,00000016,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,144.964661,19.97133072,1e-05,2,9.789339666,9.765932962,179.992905,13344,259.813446,1e+06
112,00000016a,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,391.510101,55.09738092,1e-05,0.15,6.125124594,5.694582882,852.024841,119150,1101.854126,1e+06
113,00000016b,45,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,638.609314,84.08885664,1e-05,0.05,1.897766153,0.997517948,0,1,2000,898074
114,00000016bb,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,459.004272,60.46312135,1e-05,0.05,1.673522228,0.748358031,0,1,2000,956006
115,00000016d,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,602.713074,83.41996603,1e-05,0.075,3.613698811,2.90410979,0,1,259.813446,1e+06
116,00000017,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173.756912,20.87532243,1e-05,2,9.693820853,9.659800948,232.979218,28537,320.682129,1e+06
117,00000017a,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,342.764313,43.04141654,1e-05,0.15,5.511183928,5.012426587,0,1,1178.378662,1e+06
118,00000017b,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,288.979065,30.13004805,1e-05,0.05,1.37820992,0.420233244,0,1,2000,326194
119,00000017bb,48,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,339.798523,40.62556781,1e-05,0.05,1.788336244,0.87592916,0,1,2000,539536
120,00000017d,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,638.149048,85.7215476,1e-05,0.075,3.916785956,3.240873284,1617.01416,981873,320.682129,1e+06
121,00000018,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,136.716293,15.27507866,1e-05,2,9.996630464,9.996256071,167.001694,7124,274.267242,1e+06
122,00000018a,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,288.803223,34.54480805,1e-05,0.15,6.294249468,5.882499409,549.03949,71385,819.825073,1e+06
123,00000018b,49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,495.25705,61.14368008,1e-05,0.05,1.355120783,0.394578648,0,1,2000,454334
124,00000018bb,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,274.028931,33.84197055,1e-05,0.05,1.50345418,0.559393533,0,1,2000,497057
125,00000018d,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,434.421509,54.31771659,1e-05,0.075,2.778656521,1.976285023,0,1,274.267242,1e+06
126,00000019,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,222.78299,25.83632168,1e-05,2,9.918504953,9.909449947,279.807556,9897,375.27179,1e+06
127,00000019a,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,293.742126,36.51575158,1e-05,0.15,6.047215654,5.608017393,922.82135,606906,976.339111,1e+06
128,00000019b,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,577.250122,75.21516873,1e-05,0.05,1.767185183,0.852427981,0,1,1942.387939,1000000
129,00000019bb,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,318.295532,40.20419881,1e-05,0.05,1.676141292,0.751268102,0,1,2000,655871
130,00000019d,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,503.792084,67.83192025,1e-05,0.075,3.018655359,2.242950399,0,1,375.27179,1e+06
131,0000001A,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,178.916275,18.16857417,1e-05,2,9.785742693,9.761936325,250.107254,14613,346.328796,1e+06
132,0000001Aa,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,239.642746,23.64889997,1e-05,0.15,6.702749144,6.336387938,492.140167,33611,726.143616,1e+06
133,0000001Ad,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,208.807846,20.08229633,1e-05,0.075,3.072593495,2.302881661,1415.14978,445271,346.328796,1e+06
134,0000001B,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150.856171,16.81271886,1e-05,2,9.828697869,9.809664299,203.971802,6045,313.946594,1e+06
135,0000001Ba,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,545.794983,72.31317176,1e-05,0.15,6.333470758,5.92607862,0,1,1241.657593,1e+06
136,0000001bb,53,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,714.36377,96.80908004,1e-05,0.05,1.698236953,0.775818837,0,1,2000,783364
137,0000001Bb,55,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,163.188385,20.80628379,1e-05,0.05,2.259244857,1.399160952,0,1,2000,783364
