,index,mu_driver_birth,s_driver_birth
251,0000007Db,1e-05,0.05
252,0000007Dbb,1e-05,0.05
253,0000007Eb,1e-05,0.05
254,0000007Ebb,1e-05,0.05
255,0000007Fb,1e-05,0.05
256,0000007Fbb,1e-05,0.05
257,00000080b,1e-05,0.05
258,00000080bb,1e-05,0.05
259,00000081b,1e-05,0.05
260,00000081bb,1e-05,0.05
261,00000082b,1e-05,0.05
262,00000082bb,1e-05,0.05
263,00000083b,1e-05,0.05
264,00000083bb,1e-05,0.05
265,00000084b,1e-05,0.05
266,00000084bb,1e-05,0.05
267,00000085b,1e-05,0.05
268,00000085bb,1e-05,0.05
269,00000086b,1e-05,0.05
270,00000086bb,1e-05,0.05
271,00000087b,1e-05,0.05
272,00000087bb,1e-05,0.05
273,00000088b,1e-05,0.05
274,00000088bb,1e-05,0.05
275,00000089b,1e-05,0.05
276,00000089bb,1e-05,0.05
277,0000008bb,1e-05,0.05
278,0000008bbb,1e-05,0.05
279,0000008Bb,1e-05,0.05
280,0000008Bbb,1e-05,0.05
281,0000008Cb,1e-05,0.05
282,0000008Cbb,1e-05,0.05
283,0000008Db,1e-05,0.05
284,0000008Dbb,1e-05,0.05
285,0000008Eb,1e-05,0.05
286,0000008Ebb,1e-05,0.05
287,0000008Fb,1e-05,0.05
288,0000008Fbb,1e-05,0.05
289,00000090b,1e-05,0.05
290,00000090bb,1e-05,0.05
291,00000091b,1e-05,0.05
292,00000091bb,1e-05,0.05
293,00000092b,1e-05,0.05
294,00000092bb,1e-05,0.05
295,00000093b,1e-05,0.05
296,00000093bb,1e-05,0.05
297,00000094b,1e-05,0.05
298,00000094bb,1e-05,0.05
299,00000095b,1e-05,0.05
300,00000095bb,1e-05,0.05
301,00000096b,1e-05,0.05
302,00000096bb,1e-05,0.05
303,00000097b,1e-05,0.05
304,00000097bb,1e-05,0.05
305,00000098b,1e-05,0.05
306,00000098bb,1e-05,0.05
307,00000099b,1e-05,0.05
308,00000099bb,1e-05,0.05
309,0000009bb,1e-05,0.05
310,0000009bbb,1e-05,0.05
311,0000009Bb,1e-05,0.05
312,0000009Bbb,1e-05,0.05
313,0000009Cb,1e-05,0.05
314,0000009Cbb,1e-05,0.05
315,0000009Db,1e-05,0.05
316,0000009Dbb,1e-05,0.05
317,0000009Eb,1e-05,0.05
318,0000009Ebb,1e-05,0.05
319,0000009Fb,1e-05,0.05
320,0000009Fbb,1e-05,0.05
321,000000b0b,1e-05,0.05
