,index,mu_driver_birth,s_driver_birth
363,00009482,1e-06,0.2
364,0000363A,1e-03,0.3
365,00003119,1e-03,0.4
366,00009B1B,1e-06,0.1
367,0000409C,1e-04,2.0
368,0000073A,1e-02,1.5
369,00005E95,1e-05,2.0
370,00001DCE,1e-02,0.1
371,00003CE0,1e-03,0.1
372,00009485,1e-06,0.2
373,000023D8,1e-03,1.5
374,0000374E,1e-03,0.2
375,00007718,1e-05,0.2
376,000015CB,1e-02,0.3
377,00005DA0,1e-04,0.1
378,000045D1,1e-04,1.5
379,00001425,1e-02,0.3
380,000028BF,1e-03,1.0
381,00001DD3,1e-02,0.1
382,000050D5,1e-04,0.4
383,00002EBC,1e-03,0.5
384,000061A8,1e-05,1.5
385,00005B42,1e-04,0.1
386,00009182,1e-06,0.3
387,000085EF,1e-06,1.0
388,000022D0,1e-03,2.0
389,000059EC,1e-04,0.1
390,000007E9,1e-02,1.0
391,00004C39,1e-04,0.5
392,00006531,1e-05,1.5
393,0000698E,1e-05,0.5
394,000067B5,1e-05,1.0
395,00004E20,1e-04,0.4
396,000033B4,1e-03,0.3
397,00005758,1e-04,0.2
398,00005ADB,1e-04,0.1
399,00001A56,1e-02,0.2
400,00005703,1e-04,0.2
401,000052DE,1e-04,0.3
402,00008A6C,1e-06,0.5
403,00002A14,1e-03,1.0
404,00006410,1e-05,1.5
405,00002DCC,1e-03,0.5
406,00007983,1e-05,0.1
407,00004B87,1e-04,0.5
408,00009697,1e-06,0.2
409,0000399D,1e-03,0.2
410,00006C14,1e-05,0.5
411,000029DC,1e-03,1.0
412,000085F5,1e-06,1.0
413,0000357E,1e-03,0.3
414,00000745,1e-02,1.5
415,0000549F,1e-04,0.3
416,00006BC5,1e-05,0.5
417,00001623,1e-02,0.3
418,00008C2F,1e-06,0.5
419,000070B4,1e-05,0.4
420,00007DC7,1e-06,2.0
421,00006B48,1e-05,0.5
422,00008ABB,1e-06,0.5
423,00007558,1e-05,0.2
424,00007F27,1e-06,2.0
425,00007930,1e-05,0.1
426,00007A0D,1e-05,0.1
427,00002C52,1e-03,0.5
428,00007FEE,1e-06,2.0
429,00004462,1e-04,1.5
430,00003301,1e-03,0.3
431,000055D2,1e-04,0.3
432,0000205C,1e-03,2.0
433,00001EDB,1e-02,0.1
434,000037F1,1e-03,0.2
435,000030FD,1e-03,0.4
436,00005DD2,1e-05,2.0
437,000010AC,1e-02,0.4
438,00005F8F,1e-05,2.0
439,0000061D,1e-02,1.5
440,00003328,1e-03,0.3
441,000084A4,1e-06,1.5
442,0000719E,1e-05,0.3
443,00002EC5,1e-03,0.5
444,00004F90,1e-04,0.4
445,00004644,1e-04,1.5
446,0000214E,1e-03,2.0
447,00003128,1e-03,0.4
448,000077CC,1e-05,0.2
449,00008A5E,1e-06,0.5
450,0000049B,1e-02,1.5
451,00006A66,1e-05,0.5
452,00005D54,1e-04,0.1
453,0000484E,1e-04,1.0
454,00000389,1e-02,2.0
455,000073EB,1e-05,0.3
456,00007B0C,1e-05,0.1
457,00004EDA,1e-04,0.4
458,00008F3C,1e-06,0.4
459,00006314,1e-05,1.5
460,00008E57,1e-06,0.4
461,00000360,1e-02,2.0
462,0000094C,1e-02,1.0
463,00009B91,1e-06,0.1
464,00000270,1e-02,2.0
465,00001156,1e-02,0.4
466,00001887,1e-02,0.2
467,000099D9,1e-06,0.1
468,00003261,1e-03,0.4
469,00006C16,1e-05,0.5
470,00000376,1e-02,2.0
471,000089B8,1e-06,0.5
472,000001D2,1e-02,2.0
473,00007003,1e-05,0.4
474,00004ED7,1e-04,0.4
475,00005887,1e-04,0.2
476,0000376B,1e-03,0.2
477,00001B85,1e-02,0.1
478,00005E56,1e-05,2.0
479,00003AED,1e-03,0.1
480,00000CEE,1e-02,0.5
481,00009285,1e-06,0.3
482,000014B7,1e-02,0.3
483,00000E83,1e-02,0.5
484,00000ACB,1e-02,1.0
485,0000387D,1e-03,0.2
486,000064CD,1e-05,1.5
487,00002C85,1e-03,0.5
488,0000980E,1e-06,0.2
489,000066E3,1e-05,1.0
490,00000D87,1e-02,0.5
491,0000238B,1e-03,1.5
492,00006555,1e-05,1.5
493,00008365,1e-06,1.5
494,00000016,1e-02,2.0
495,0000890D,1e-06,0.5
496,000093D8,1e-06,0.3
497,000054AF,1e-04,0.3
498,000040F4,1e-04,2.0
499,000077B3,1e-05,0.2
500,00000BB9,1e-02,0.5
501,000064E8,1e-05,1.5
502,0000463D,1e-04,1.5
503,0000288D,1e-03,1.0
504,00005870,1e-04,0.2
505,00004302,1e-04,1.5
506,00000AD1,1e-02,1.0
507,00006CE6,1e-05,0.5
508,00008CC0,1e-06,0.4
509,00000EAC,1e-02,0.5
510,000009B0,1e-02,1.0
511,0000619E,1e-05,2.0
512,00002781,1e-03,1.0
513,00000421,1e-02,1.5
514,000008B3,1e-02,1.0
515,0000845D,1e-06,1.5
516,00008402,1e-06,1.5
517,00007EA2,1e-06,2.0
518,00001DB4,1e-02,0.1
519,00006403,1e-05,1.5
520,00004A1B,1e-04,1.0
521,00008CF1,1e-06,0.4
522,0000946A,1e-06,0.3
523,0000368F,1e-03,0.3
524,000000D9,1e-02,2.0
525,00001091,1e-02,0.4
526,00005823,1e-04,0.2
527,00008618,1e-06,1.0
528,000009C1,1e-02,1.0
529,00007F6D,1e-06,2.0
530,00007352,1e-05,0.3
531,0000933D,1e-06,0.3
532,0000830E,1e-06,1.5
533,00003372,1e-03,0.3
534,00007C65,1e-05,0.1
535,00008D4C,1e-06,0.4
536,0000379A,1e-03,0.2
537,00005858,1e-04,0.2
538,00001DB5,1e-02,0.1
539,0000169D,1e-02,0.3
540,00009444,1e-06,0.3
541,00005D86,1e-04,0.1
542,000089D7,1e-06,0.5
543,00004AE1,1e-04,0.5
544,000069CE,1e-05,0.5
545,00005CD1,1e-04,0.1
546,00003AD2,1e-03,0.1
547,00003A13,1e-03,0.2
548,000019A5,1e-02,0.2
549,00001782,1e-02,0.2
550,000040B3,1e-04,2.0
551,00003BEC,1e-03,0.1
552,00005214,1e-04,0.3
553,00007063,1e-05,0.4
554,00002571,1e-03,1.5
