,index,mu_driver_birth,s_driver_birth
332,0000014Ba,1e-05,0.15
333,0000014Ca,1e-05,0.15
334,0000014Da,1e-05,0.15
335,0000014Ea,1e-05,0.15
336,0000014Fa,1e-05,0.15
337,00000150a,1e-05,0.15
338,00000151a,1e-05,0.15
339,00000152a,1e-05,0.15
340,00000153a,1e-05,0.15
341,00000154a,1e-05,0.15
342,00000155a,1e-05,0.15
343,00000156a,1e-05,0.15
344,00000157a,1e-05,0.15
345,00000158a,1e-05,0.15
346,00000159a,1e-05,0.15
347,0000015Aa,1e-05,0.15
348,0000015Ba,1e-05,0.15
349,0000015Ca,1e-05,0.15
350,0000015Da,1e-05,0.15
351,0000015Ea,1e-05,0.15
352,0000015Fa,1e-05,0.15
353,00000160a,1e-05,0.15
354,00000161a,1e-05,0.15
355,00000162a,1e-05,0.15
356,00000163a,1e-05,0.15
357,00000164a,1e-05,0.15
358,00000165a,1e-05,0.15
359,00000166a,1e-05,0.15
360,00000167a,1e-05,0.15
361,00000168a,1e-05,0.15
362,00000169a,1e-05,0.15
363,0000016Aa,1e-05,0.15
364,0000016Ba,1e-05,0.15
365,0000016Ca,1e-05,0.15
366,0000016Da,1e-05,0.15
367,0000016Ea,1e-05,0.15
368,0000016Fa,1e-05,0.15
369,00000170a,1e-05,0.15
370,00000171a,1e-05,0.15
371,00000172a,1e-05,0.15
372,00000173a,1e-05,0.15
373,00000174a,1e-05,0.15
374,00000175a,1e-05,0.15
375,00000176a,1e-05,0.15
376,00000177a,1e-05,0.15
377,00000178a,1e-05,0.15
378,00000179a,1e-05,0.15
379,0000017Aa,1e-05,0.15
380,0000017Ba,1e-05,0.15
381,0000017Ca,1e-05,0.15
382,0000017Da,1e-05,0.15
383,0000017Ea,1e-05,0.15
384,0000017Fa,1e-05,0.15
385,00000180a,1e-05,0.15
386,00000181a,1e-05,0.15
387,00000182a,1e-05,0.15
388,00000183a,1e-05,0.15
389,00000184a,1e-05,0.15
390,00000185a,1e-05,0.15
391,00000186a,1e-05,0.15
392,00000187a,1e-05,0.15
393,00000188a,1e-05,0.15
394,00000189a,1e-05,0.15
395,0000018Aa,1e-05,0.15
396,0000018Ba,1e-05,0.15
397,0000018Ca,1e-05,0.15
398,0000018Da,1e-05,0.15
399,0000018Ea,1e-05,0.15
400,0000018Fa,1e-05,0.15
401,00000190a,1e-05,0.15
402,00000191a,1e-05,0.15
403,00000192a,1e-05,0.15
404,00000193a,1e-05,0.15
405,00000194a,1e-05,0.15
406,00000195a,1e-05,0.15
407,00000196a,1e-05,0.15
408,00000197a,1e-05,0.15
409,00000198a,1e-05,0.15
410,00000199a,1e-05,0.15
411,0000019Aa,1e-05,0.15
412,0000019Ba,1e-05,0.15
413,0000019Ca,1e-05,0.15
414,0000019Da,1e-05,0.15
415,0000019Ea,1e-05,0.15
416,0000019Fa,1e-05,0.15
417,000001A0a,1e-05,0.15
418,000001A1a,1e-05,0.15
419,000001A2a,1e-05,0.15
420,000001A3a,1e-05,0.15
421,000001A4a,1e-05,0.15
422,000001A5a,1e-05,0.15
423,000001A6a,1e-05,0.15
424,000001A7a,1e-05,0.15
425,000001A8a,1e-05,0.15
426,000001A9a,1e-05,0.15
427,000001AAa,1e-05,0.15
428,000001ABa,1e-05,0.15
429,000001ACa,1e-05,0.15
430,000001ADa,1e-05,0.15
431,000001AEa,1e-05,0.15
432,000001AFa,1e-05,0.15
433,000001B0a,1e-05,0.15
434,000001B1a,1e-05,0.15
435,000001B2a,1e-05,0.15
436,000001B3a,1e-05,0.15
437,000001B4a,1e-05,0.15
438,000001B5a,1e-05,0.15
439,000001B6a,1e-05,0.15
440,000001B7a,1e-05,0.15
441,000001B8a,1e-05,0.15
442,000001B9a,1e-05,0.15
443,000001BAa,1e-05,0.15
444,000001BBa,1e-05,0.15
445,000001BCa,1e-05,0.15
446,000001BDa,1e-05,0.15
447,000001BEa,1e-05,0.15
448,000001BFa,1e-05,0.15
449,000001C0a,1e-05,0.15
450,000001C1a,1e-05,0.15
451,000001C2a,1e-05,0.15
452,000001C3a,1e-05,0.15
453,000001C4a,1e-05,0.15
454,000001C5a,1e-05,0.15
455,000001C6a,1e-05,0.15
456,000001C7a,1e-05,0.15
457,000001C8a,1e-05,0.15
458,000001C9a,1e-05,0.15
459,000001CAa,1e-05,0.15
460,000001CBa,1e-05,0.15
461,000001CCa,1e-05,0.15
462,000001CDa,1e-05,0.15
463,000001CEa,1e-05,0.15
464,000001CFa,1e-05,0.15
465,000001D0a,1e-05,0.15
466,000001D1a,1e-05,0.15
467,000001D2a,1e-05,0.15
468,000001D3a,1e-05,0.15
469,000001D4a,1e-05,0.15
470,000001D5a,1e-05,0.15
471,000001D6a,1e-05,0.15
472,000001D7a,1e-05,0.15
473,000001D8a,1e-05,0.15
474,000001D9a,1e-05,0.15
475,000001DAa,1e-05,0.15
476,000001DBa,1e-05,0.15
477,000001DCa,1e-05,0.15
478,000001DDa,1e-05,0.15
479,000001DEa,1e-05,0.15
480,000001DFa,1e-05,0.15
481,000001E0a,1e-05,0.15
482,000001E1a,1e-05,0.15
483,000001E2a,1e-05,0.15
484,000001E3a,1e-05,0.15
