,id,speed_early,speed_late
3535,00000DCE,0.167082109,0.168903885
3536,00000DCF,0.160866862,0.171669481
3537,00000DD0,0.164738099,0.174165015
3538,00000DD1,0.158878702,0.16875438
3539,00000DD2,0.163903146,0.170569485
3540,00000DD3,0.17091182,0.172697799
3541,00000DD4,0.15025384,0.147011059
3542,00000DD5,0.139629058,0.14810788
3543,00000DD6,0.144818443,0.145135216
3544,00000DD7,0.147196433,0.147444521
3545,00000DD8,0.14525581,0.148948515
3546,00000DD9,0.139827856,0.149224046
3547,00000DDA,0.14590955,0.146930161
3548,00000DDB,0.150508858,0.149291865
3549,00000DDC,0.147259042,0.147792189
3550,00000DDD,0.155490711,0.147929263
3551,00000DDE,0.122550462,0.126931966
3552,00000DDF,0.125649537,0.127889654
3553,00000DE0,0.11839571,0.127691072
3554,00000DE1,0.124101585,0.126206742
3555,00000DE2,0.124965979,0.125782305
