id,sweep_init_time,pop_radius_at_sweep_init
000000F7aa,117.753212,14.94836246
000000F8a,0,0
000000F8aa,107.533897,13.98006689
000000F9a,0,0
000000F9aa,0,0
000000FAa,0,0
000000FAaa,0,0
000000FBa,0,0
000000FBaa,0,0
000000FCa,0,0
000000FCaa,0,0
000000FDa,0,0
000000FDaa,134.834396,14.28413935
000000FEa,0,0
000000FEaa,0,0
000000FFa,0,0
000000FFaa,0,0
00000100a,459.662964,52.8986031
00000100aa,0,0
00000101a,494.538574,65.25847046
00000101aa,0,0
00000102a,0,0
00000102aa,186.955505,22.60281769
00000103a,0,0
00000103aa,0,0
00000104a,0,0
00000104aa,0,0
00000105a,0,0
00000105aa,99.719086,10.09253009
00000106a,0,0
00000106aa,0,0
00000107a,0,0
00000107aa,0,0
00000108a,0,0
00000108aa,0,0
00000109a,0,0
00000109aa,0,0
0000010Aa,0,0
0000010Aaa,0,0
0000010Ba,0,0
0000010Baa,0,0
0000010Ca,0,0
0000010Caa,178.39444,18.98227571
0000010Da,559.334473,77.7743066
0000010Daa,0,0
0000010Ea,0,0
0000010Eaa,0,0
0000010Fa,0,0
0000010Faa,0,0
00000110a,0,0
00000110aa,164.063904,17.99225262
00000111a,0,0
00000111aa,0,0
00000112a,0,0
00000112aa,0,0
00000113a,0,0
00000113aa,0,0
00000114a,0,0
00000114aa,0,0
00000115a,0,0
00000115aa,236.092728,17.3986408
00000116a,0,0
00000116aa,0,0
00000117a,0,0
00000117aa,0,0
00000118a,0,0
00000118aa,0,0
00000119a,0,0
00000119aa,283.519928,35.21555504
0000011Aa,0,0
0000011Aaa,0,0
0000011Ba,0,0
0000011Baa,0,0
0000011Ca,0,0
0000011Caa,0,0
0000011Da,0,0
0000011Daa,0,0
0000011Ea,0,0
0000011Eaa,0,0
0000011Fa,0,0
0000011Faa,0,0
00000120a,0,0
00000120aa,0,0
00000121a,0,0
00000121aa,0,0
00000122a,0,0
00000122aa,185.134537,22.55347419
00000123a,0,0
00000123aa,0,0
00000124a,0,0
00000124aa,0,0
00000125a,0,0
00000125aa,433.532867,51.03343501
00000126a,0,0
00000126aa,0,0
00000127a,0,0
00000127aa,0,0
00000128a,0,0
00000128aa,0,0
00000129a,0,0
00000129aa,186.149475,23.66235596
0000012Aa,0,0
0000012Aaa,0,0
0000012Ba,0,0
0000012Baa,0,0
0000012Ca,0,0
0000012Caa,0,0
0000012Da,169.659195,18.08049372
0000012Daa,0,0
0000012Ea,697.522156,85.29344904
0000012Eaa,0,0
0000012Fa,0,0
0000012Faa,0,0
00000130a,310.652863,40.62948523
00000130aa,0,0
00000131a,582.276489,65.82184942
00000131aa,0,0
00000132a,0,0
00000132aa,0,0
00000133a,0,0
00000133aa,308.371155,35.2336282
00000134a,0,0
00000134aa,0,0
00000135a,0,0
00000135aa,0,0
00000136a,0,0
00000136aa,0,0
00000137a,0,0
00000137aa,0,0
00000138a,0,0
00000138aa,0,0
00000139a,0,0
00000139aa,0,0
0000013Aa,0,0
0000013Aaa,146.527954,13.35116236
0000013Ba,0,0
0000013Baa,452.6586,62.62250233
0000013Ca,0,0
0000013Caa,0,0
0000013Da,161.644638,21.64606552
0000013Daa,656.697998,94.06581853
0000013Ea,0,0
0000013Eaa,0,0
0000013Fa,0,0
0000013Faa,0,0
00000140a,0,0
00000140aa,560.922058,74.03792643
00000141a,0,0
00000141aa,0,0
00000142a,0,0
00000142aa,0,0
00000143a,0,0
00000143aa,0,0
00000144a,594.712097,80.90565184
00000144aa,0,0
00000145a,0,0
00000145aa,0,0
00000146a,0,0
00000146aa,0,0
00000147a,0,0
00000147aa,0,0
00000148a,0,0
00000148aa,0,0
00000149a,0,0
00000149aa,0,0
0000014Aa,0,0
0000014Aaa,0,0
0000014Ba,519.67688,61.11504074
0000014Baa,0,0
0000014Ca,0,0
0000014Caa,0,0
0000014Da,0,0
0000014Daa,154.70903,19.18244584
0000014Ea,0,0
0000014Eaa,0,0
0000014Fa,0,0
0000014Faa,0,0
00000150a,0,0
00000150aa,0,0
00000151a,0,0
00000151aa,0,0
00000152a,0,0
00000152aa,0,0
00000153a,0,0
00000153aa,0,0
00000154a,0,0
00000154aa,0,0
00000155a,0,0
00000155aa,0,0
00000156a,0,0
00000156aa,0,0
00000157a,0,0
00000157aa,0,0
00000158a,0,0
00000158aa,0,0
00000159a,0,0
00000159aa,318.658875,39.39239387
0000015Aa,0,0
0000015Aaa,0,0
0000015Ba,0,0
0000015Baa,0,0
0000015Ca,0,0
0000015Caa,0,0
0000015Da,0,0
0000015Daa,0,0
0000015Ea,0,0
0000015Eaa,0,0
0000015Fa,0,0
0000015Faa,0,0
00000160a,0,0
00000160aa,0,0
00000161a,0,0
00000161aa,0,0
00000162a,0,0
00000162aa,0,0
00000163a,338.284119,37.49633005
00000163aa,0,0
00000164a,298.82312,39.15735846
00000164aa,0,0
00000165a,0,0
00000165aa,0,0
00000166a,0,0
00000166aa,0,0
00000167a,0,0
00000167aa,0,0
00000168a,0,0
00000168aa,0,0
00000169a,0,0
00000169aa,0,0
0000016Aa,0,0
0000016Aaa,0,0
0000016Ba,314.793854,36.33223222
0000016Baa,424.43515,50.34582032
0000016Ca,0,0
0000016Caa,0,0
0000016Da,0,0
0000016Daa,0,0
0000016Ea,67.042381,8.593479714
0000016Eaa,0,0
0000016Fa,0,0
0000016Faa,0,0
00000170a,303.956116,36.41099664
00000170aa,0,0
00000171a,0,0
00000171aa,0,0
00000172a,0,0
00000172aa,0,0
00000173a,0,0
00000173aa,0,0
00000174a,0,0
00000174aa,0,0
00000175a,0,0
00000175aa,0,0
00000176a,0,0
00000176aa,0,0
00000177a,0,0
00000177aa,0,0
00000178a,0,0
00000178aa,0,0
00000179a,0,0
00000179aa,0,0
0000017Aa,0,0
0000017Aaa,312.664337,39.83034613
0000017Ba,0,0
0000017Baa,0,0
0000017Ca,399.491577,49.5781095
0000017Caa,519.072998,68.50664903
0000017Da,0,0
0000017Daa,0,0
0000017Ea,0,0
0000017Eaa,0,0
0000017Fa,0,0
0000017Faa,0,0
00000180a,0,0
00000180aa,0,0
00000181a,0,0
00000181aa,0,0
00000182a,0,0
00000182aa,365.027161,45.03632528
00000183a,615.562256,82.4238309
00000183aa,0,0
00000184a,0,0
00000184aa,0,0
00000185a,0,0
00000185aa,0,0
00000186a,0,0
00000186aa,0,0
00000187a,0,0
00000187aa,0,0
00000188a,0,0
00000188aa,0,0
00000189a,0,0
00000189aa,0,0
0000018Aa,0,0
0000018Aaa,0,0
0000018Ba,0,0
0000018Baa,0,0
0000018Ca,0,0
0000018Caa,0,0
0000018Da,312.359131,45.52139452
0000018Daa,0,0
0000018Ea,448.961121,57.53627392
0000018Eaa,0,0
0000018Fa,0,0
0000018Faa,712.164185,84.9119381
00000190a,0,0
00000190aa,0,0
00000191a,0,0
00000191aa,326.071716,36.83687072
00000192a,0,0
00000192aa,0,0
00000193a,0,0
00000193aa,0,0
00000194a,0,0
00000194aa,0,0
00000195a,0,0
00000195aa,0,0
00000196a,0,0
00000196aa,0,0
00000197a,0,0
00000197aa,0,0
00000198a,0,0
00000198aa,385.239746,44.08628092
00000199a,0,0
00000199aa,97.102844,12.19224003
0000019Aa,0,0
0000019Aaa,0,0
0000019Ba,0,0
0000019Baa,0,0
0000019Ca,0,0
0000019Caa,0,0
0000019Da,0,0
0000019Daa,0,0
0000019Ea,0,0
0000019Eaa,0,0
0000019Fa,0,0
0000019Faa,0,0
000001A0a,0,0
000001A0aa,0,0
000001A1a,0,0
000001A1aa,0,0
000001A2a,0,0
000001A2aa,0,0
000001A3a,0,0
000001A3aa,0,0
000001A4a,0,0
000001A4aa,0,0
000001A5a,0,0
000001A5aa,0,0
000001A6a,0,0
000001A6aa,286.807709,34.14628989
000001A7a,601.483948,79.57473573
000001A7aa,0,0
000001A8a,0,0
000001A8aa,0,0
000001A9a,0,0
000001A9aa,472.047485,53.11778263
000001AAa,0,0
000001AAaa,0,0
000001ABa,0,0
000001ABaa,0,0
000001ACa,0,0
000001ACaa,0,0
000001ADa,0,0
000001ADaa,0,0
000001AEa,0,0
000001AEaa,0,0
000001AFa,0,0
000001AFaa,0,0
000001B0a,0,0
000001B0aa,0,0
000001B1a,0,0
000001B1aa,0,0
000001B2a,0,0
000001B2aa,0,0
000001B3a,0,0
000001B3aa,0,0
000001B4a,0,0
000001B4aa,0,0
000001B5a,0,0
000001B5aa,0,0
000001B6a,0,0
000001B6aa,0,0
000001B7a,0,0
000001B7aa,0,0
000001B8a,0,0
000001B8aa,0,0
000001B9a,0,0
000001B9aa,0,0
000001BAa,358.067596,44.1476096
000001BAaa,658.072998,85.69555055
000001BBa,0,0
000001BBaa,0,0
000001BCa,0,0
000001BCaa,0,0
000001BDa,0,0
000001BDaa,0,0
000001BEa,0,0
000001BEaa,0,0
000001BFa,0,0
000001BFaa,0,0
000001C0a,0,0
000001C0aa,0,0
000001C1a,0,0
000001C1aa,0,0
000001C2a,0,0
000001C2aa,0,0
000001C3a,0,0
000001C3aa,0,0
000001C4a,0,0
000001C4aa,0,0
000001C5a,0,0
000001C5aa,327.071289,36.7676772
000001C6a,0,0
000001C6aa,0,0
000001C7a,0,0
000001C7aa,0,0
000001C8a,0,0
000001C8aa,0,0
000001C9a,387.690735,51.26059023
000001C9aa,0,0
000001CAa,0,0
000001CAaa,0,0
000001CBa,0,0
000001CBaa,0,0
000001CCa,0,0
000001CCaa,111.182541,13.75049353
000001CDa,0,0
000001CDaa,0,0
000001CEa,0,0
000001CEaa,0,0
000001CFa,0,0
000001CFaa,0,0
000001D0a,307.256012,30.44010642
000001D0aa,571.789856,66.23162795
000001D1a,0,0
000001D1aa,0,0
000001D2a,268.359375,25.16184341
000001D2aa,0,0
000001D3a,0,0
000001D3aa,0,0
000001D4a,429.161926,45.29356705
000001D4aa,0,0
000001D5a,0,0
000001D5aa,0,0
000001D6a,470.338684,59.01379893
000001D6aa,0,0
000001D7a,370.30191,43.10792405
000001D7aa,0,0
000001D8a,0,0
000001D8aa,0,0
000001D9a,0,0
000001D9aa,129.895126,14.02553064
000001DAa,0,0
000001DAaa,0,0
000001DBa,0,0
000001DBaa,0,0
000001DCa,0,0
000001DCaa,0,0
000001DDa,0,0
000001DDaa,0,0
000001DEa,0,0
000001DEaa,0,0
000001DFa,0,0
000001DFaa,482.792419,63.70597342
000001E0a,0,0
000001E0aa,0,0
000001E1a,0,0
000001E1aa,0,0
000001E2a,0,0
000001E2aa,0,0
000001E3a,0,0
000001E3aa,0,0
000001E4a,0,0
000001E4aa,71.013702,11.25554684
000001E5a,0,0
000001E5aa,230.148407,30.85038994
000001E6a,344.712952,48.44480148
000001E6aa,0,0
000001E7a,0,0
000001E7aa,0,0
000001E8a,0,0
000001E8aa,0,0
000001E9a,0,0
000001E9aa,0,0
000001EAa,0,0
000001EAaa,0,0
000001EBa,0,0
000001EBaa,0,0
000001ECa,0,0
000001ECaa,420.5224,52.23554675
000001EDa,514.839478,66.45952137
000001EDaa,0,0
000001EEa,0,0
000001EEaa,0,0
000001EFa,0,0
000001EFaa,66.334213,3.784698783
000001F0a,0,0
000001F0aa,0,0
000001F1a,0,0
000001F1aa,0,0
000001F2a,0,0
000001F2aa,0,0
000001F3a,0,0
000001F3aa,0,0
000001B2a,0,0
000001B3,0,0
000001B3,311.42627,36.63758712
000001B3a,0,0
000001B4,0,0
000001B4a,0,0
000001B5,0,0
000001B5a,0,0
000001B6,0,0
000001B6a,0,0
000001B6a,342.812408,43.60714689
000001B7,0,0
000001B7a,0,0
000001B8,0,0
000001B8a,0,0
000001B9,0,0
000001B9a,0,0
000001BA,0,0
000001BA,390.059723,46.00134915
000001BAa,0,0
000001BB,0,0
000001BBa,0,0
000001BC,0,0
000001BCa,0,0
000001BD,0,0
000001BDa,0,0
000001BE,0,0
000001BEa,0,0
000001BF,0,0
000001BFa,0,0
000001BFa,167.329941,17.22396046
000001C0,0,0
000001C0a,0,0
000001C1,0,0
000001C1a,0,0
000001C2,0,0
000001C2a,0,0
000001C3,0,0
000001C3a,0,0
000001C4,0,0
000001C4a,0,0
000001C5,0,0
000001C5a,0,0
000001C6,0,0
000001C6a,0,0
000001C7,0,0
000001C7a,0,0
000001C8,0,0
000001C8a,0,0
000001C9,0,0
000001C9a,0,0
000001CA,0,0
000001CAa,0,0
000001CB,0,0
000001CBa,0,0
000001CC,0,0
000001CCa,0,0
000001CD,0,0
000001CDa,0,0
000001CE,0,0
000001CEa,0,0
000001CF,0,0
000001CFa,0,0
000001D0,0,0
000001D0a,0,0
000001D1,0,0
000001D1,415.190857,54.33529419
000001D1a,0,0
000001D2,0,0
000001D2a,0,0
000001D3,0,0
000001D3a,0,0
000001D4,0,0
000001D4,393.499878,47.90298497
000001D4a,0,0
000001D5,0,0
000001D5a,0,0
000001D6,0,0
000001D6a,0,0
000001D7,0,0
000001D7a,0,0
000001D8,0,0
000001D8a,0,0
000001D9,0,0
000001D9a,0,0
000001D9a,777.400635,108.5064333
000001DA,0,0
000001DAa,0,0
000001DB,0,0
000001DBa,0,0
000001DC,0,0
000001DCa,0,0
000001DD,0,0
000001DDa,0,0
000001DE,0,0
000001DEa,0,0
000001DF,0,0
000001DFa,0,0
000001E0,0,0
000001E0a,0,0
000001E1,0,0
000001E1a,0,0
000001E1a,350.01889,34.02488877
000001E2,0,0
000001E2a,0,0
000001E2a,236.441422,33.47313549
000001E3,0,0
000001E3a,0,0
000001E4,0,0
000001E4a,0,0
000001E4a,660.602478,87.80356168
000001E5,0,0
000001E5a,0,0
000001E6,0,0
000001E6,64.334274,6.603669768
000001E6a,0,0
000001E7,0,0
000001E7a,0,0
000001E8,0,0
000001E8a,0,0
000001E9,0,0
000001E9,153.106339,13.99144667
000001E9a,0,0
000001EA,0,0
000001EAa,0,0
000001EB,0,0
000001EBa,0,0
000001EC,0,0
000001EC,243.651474,28.26021062
000001ECa,0,0
000001ED,0,0
000001EDa,0,0
000001EE,0,0
000001EEa,0,0
000001EF,0,0
000001EFa,0,0
000001F0,0,0
000001F0a,0,0
000001F1,0,0
000001F1a,0,0
000001F2,0,0
000001F2a,0,0
000001F3,0,0
000001F3,698.475952,93.93714209
000001F3a,0,0
